case_id,case_type,court_level,filing_year,num_parties,has_jury,num_legal_reps,duration_days,settled_pre_trial,prior_cases_same_party,outcome
1001,family,trial,2020,4,True,2,363,True,1,settled
1002,contract,trial,2021,3,False,2,153,False,6,defendant_win
1003,civil,trial,2015,3,False,1,143,False,9,defendant_win
1004,family,appeal,2015,4,False,1,307,True,3,settled
1005,family,trial,2015,4,False,2,242,False,9,plaintiff_win
1006,contract,trial,2019,4,False,1,201,False,7,defendant_win
1007,civil,appeal,2018,5,False,1,317,True,8,settled
1008,civil,trial,2019,3,False,2,203,True,6,settled
1009,family,appeal,2018,5,True,1,142,False,4,plaintiff_win
1010,criminal,appeal,2022,5,False,3,151,False,7,defendant_win
1011,family,trial,2019,4,True,3,61,False,3,defendant_win
1012,family,appeal,2019,4,False,3,251,False,1,settled
1013,family,trial,2020,2,False,3,148,True,10,settled
1014,family,appeal,2017,2,True,2,68,False,5,plaintiff_win
1015,contract,appeal,2019,5,False,2,297,True,8,settled
1016,civil,trial,2020,3,False,2,262,False,0,plaintiff_win
1017,contract,appeal,2016,4,True,3,47,False,10,plaintiff_win
1018,contract,appeal,2017,4,False,3,178,False,9,defendant_win
1019,contract,appeal,2022,5,False,1,178,True,6,settled
1020,family,appeal,2019,2,True,1,155,True,9,settled
1021,criminal,appeal,2021,3,False,3,331,False,8,defendant_win
1022,civil,trial,2015,2,True,3,267,False,9,plaintiff_win
1023,criminal,appeal,2016,2,False,3,164,False,8,plaintiff_win
1024,contract,trial,2016,2,False,3,180,True,9,settled
1025,contract,appeal,2022,2,False,1,265,False,10,settled
1026,criminal,trial,2020,4,False,3,253,True,2,settled
1027,criminal,trial,2016,4,False,1,232,False,10,plaintiff_win
1028,criminal,appeal,2017,2,False,3,285,True,4,settled
1029,contract,appeal,2019,3,False,3,115,False,7,plaintiff_win
1030,contract,appeal,2019,5,False,3,179,True,7,settled
1031,civil,trial,2021,3,True,1,264,False,3,plaintiff_win
1032,civil,appeal,2022,3,False,1,51,False,10,defendant_win
1033,contract,trial,2015,3,True,2,314,True,10,settled
1034,criminal,trial,2020,2,True,3,298,True,0,settled
1035,criminal,trial,2015,4,True,2,287,True,0,settled
1036,civil,appeal,2016,3,False,2,58,True,3,settled
1037,contract,appeal,2022,2,False,1,242,False,5,plaintiff_win
1038,civil,trial,2021,3,False,1,312,False,7,plaintiff_win
1039,civil,trial,2015,3,True,2,79,False,5,defendant_win
1040,family,appeal,2017,2,False,3,124,False,8,defendant_win
1041,family,trial,2019,4,False,1,117,False,8,defendant_win
1042,family,appeal,2016,4,False,3,73,True,1,settled
1043,criminal,trial,2021,5,False,3,307,True,9,settled
1044,contract,appeal,2015,2,False,2,200,False,0,plaintiff_win
1045,contract,trial,2020,5,False,2,218,False,1,plaintiff_win
1046,contract,appeal,2017,5,False,2,213,True,4,settled
1047,contract,trial,2017,5,True,2,32,True,3,settled
1048,family,appeal,2015,4,True,1,220,False,3,defendant_win
1049,criminal,appeal,2019,2,False,1,147,False,8,defendant_win
1050,criminal,trial,2015,5,True,2,48,True,10,settled
1051,family,trial,2016,2,False,1,52,False,7,settled
1052,criminal,appeal,2015,2,False,2,59,False,5,plaintiff_win
1053,family,trial,2017,4,False,3,324,True,0,settled
1054,contract,appeal,2021,5,False,3,137,True,1,settled
1055,family,trial,2015,5,False,3,310,False,5,plaintiff_win
1056,contract,appeal,2019,2,False,2,157,False,10,plaintiff_win
1057,contract,appeal,2022,3,False,3,258,True,1,settled
1058,civil,appeal,2021,4,False,1,140,False,9,settled
1059,family,appeal,2020,4,False,3,165,False,4,plaintiff_win
1060,civil,appeal,2018,4,False,3,215,False,4,plaintiff_win
1061,family,appeal,2015,4,False,3,173,False,5,settled
1062,family,trial,2019,5,False,1,101,False,5,defendant_win
1063,civil,trial,2021,5,False,2,158,False,5,defendant_win
1064,civil,trial,2019,3,False,1,290,False,1,plaintiff_win
1065,family,appeal,2020,4,False,2,32,False,9,settled
1066,criminal,appeal,2017,4,False,2,133,False,2,defendant_win
1067,contract,appeal,2019,2,True,3,253,False,5,plaintiff_win
1068,civil,appeal,2021,5,True,2,349,True,7,settled
1069,contract,trial,2019,4,False,1,39,False,10,plaintiff_win
1070,criminal,trial,2019,3,True,1,331,False,0,plaintiff_win
1071,criminal,appeal,2019,3,True,2,260,True,0,settled
1072,criminal,trial,2016,5,True,3,248,False,10,plaintiff_win
1073,civil,trial,2016,3,True,3,95,False,1,defendant_win
1074,criminal,appeal,2017,3,True,1,141,True,10,settled
1075,civil,trial,2015,5,False,3,42,True,5,settled
1076,criminal,appeal,2019,4,False,2,115,True,8,settled
1077,contract,trial,2020,4,False,2,263,True,3,settled
1078,contract,appeal,2015,3,False,1,119,False,2,settled
1079,family,appeal,2020,3,True,2,343,True,7,settled
1080,contract,appeal,2015,4,False,1,83,False,10,settled
1081,family,appeal,2017,5,False,2,41,False,9,plaintiff_win
1082,contract,trial,2019,3,True,1,238,False,8,plaintiff_win
1083,civil,appeal,2019,2,False,3,43,False,10,plaintiff_win
1084,contract,appeal,2018,5,False,2,150,True,4,settled
1085,family,appeal,2020,3,False,2,49,False,8,settled
1086,family,trial,2015,3,False,1,104,True,1,settled
1087,criminal,appeal,2015,2,False,1,272,False,2,plaintiff_win
1088,civil,trial,2022,2,True,2,252,False,6,plaintiff_win
1089,contract,appeal,2022,4,False,1,99,True,6,settled
1090,criminal,trial,2016,5,True,2,341,True,5,settled
1091,contract,trial,2018,5,False,3,240,False,5,plaintiff_win
1092,contract,appeal,2021,4,False,1,130,False,1,settled
1093,criminal,trial,2022,5,False,2,215,False,9,plaintiff_win
1094,criminal,appeal,2021,5,False,3,161,True,5,settled
1095,criminal,appeal,2016,5,True,3,140,False,3,defendant_win
1096,criminal,appeal,2016,5,True,2,161,True,2,settled
1097,criminal,trial,2016,5,True,1,49,False,10,defendant_win
1098,contract,trial,2020,2,True,2,53,False,1,plaintiff_win
1099,criminal,appeal,2020,5,False,3,256,False,0,defendant_win
1100,civil,appeal,2017,2,False,2,183,False,10,defendant_win
1101,family,trial,2017,5,True,1,322,True,10,settled
1102,criminal,appeal,2016,4,False,3,259,False,4,defendant_win
1103,criminal,appeal,2018,3,False,2,339,False,1,defendant_win
